#Table1
bestObjID,ra,dec,z,class,z1,velDisp,velDispErr,survey
1237655125003796741,171.93635,4.503607,0.5825583,GALAXY,0.5825583,212.6874,44.35896,boss
1237655125003796920,172.03691,4.6071584,0.4130765,GALAXY,0.4130765,274.3934,53.5945,boss
1237654605330908040,171.95114,4.7594071,0.5248713,GALAXY,0.5248713,182.2176,36.59115,boss
1237655125003797035,171.97308,4.4957946,0.5629225,GALAXY,0.5629225,138.5185,52.048,boss
1237654604794036692,171.92519,4.3784503,0.5265753,GALAXY,0.5265753,204.723,34.04063,boss
1237654605867975270,172.37066,5.3008894,0.5199236,GALAXY,0.5199236,241.2267,47.069,boss
1237655126614540751,172.27681,5.7234885,0.4977348,GALAXY,0.4977348,186.1766,32.72983,boss
1237655126077735241,172.36924,5.3548614,0.5205988,GALAXY,0.5205988,163.2871,51.40604,boss
1237655126614540794,172.29203,5.747258,0.4982475,GALAXY,0.4982475,203.9395,39.71556,boss
1237654606404780279,172.28761,5.6275248,0.4966138,GALAXY,0.4966138,189.8512,31.68938,boss
1237655125540864226,172.37178,5.0109403,0.449274,GALAXY,0.449274,185.3367,28.47286,boss
1237654606404780836,172.28994,5.5556683,0.5522585,GALAXY,0.5522585,189.419,29.60173,boss
1237655125540799276,172.36005,4.9964163,0.545993,GALAXY,0.545993,241.5005,32.35792,boss
1237655126077670246,172.34737,5.3937216,0.6404945,GALAXY,0.6404945,158.8247,90.94727,boss
1237654605867975130,172.32747,5.1480556,0.4977465,GALAXY,0.4977465,95.27784,24.38418,boss
1237655125540799062,172.32725,5.0558354,0.6160641,GALAXY,0.6160641,196.0462,53.60954,boss
1237655125540798912,172.26401,4.9199144,0.5763093,GALAXY,0.5763093,304.6266,37.49428,boss
1237655125540798876,172.25253,4.9899252,0.5220048,GALAXY,0.5220048,252.8277,27.83872,boss
1237655125540798648,172.25105,4.9546218,0.2886998,GALAXY,0.2886998,172.4011,12.81107,boss
1237651755081073170,173.17278,3.4308189,0.525018,GALAXY,0.525018,234.9284,31.37556,boss
1237651755081138551,173.24992,3.412368,0.3595877,GALAXY,0.3595877,247.7228,20.38754,boss
1237651755081138872,173.32665,3.4901646,0.5883568,GALAXY,0.5883568,219.2618,30.79772,boss
1237654031403057796,173.28369,3.6187138,0.5636063,GALAXY,0.5636063,212.3245,27.65618,boss
1237651755081073152,173.16712,3.3848907,0.5268174,GALAXY,0.5268174,263.8525,35.08654,boss
1237655123930579657,173.21863,3.6932185,0.562901,GALAXY,0.562901,214.2516,73.72411,boss
1237655123930644568,173.293,3.7131679,0.1458229,GALAXY,0.1458229,241.103,9.511643,boss
1237655123930579453,173.27603,3.6678353,0.5643487,GALAXY,0.5643487,195.3969,31.48472,boss
1237655123930579106,173.19382,3.6694101,0.564616,GALAXY,0.564616,259.8225,77.20375,boss
1237654031403057562,173.19127,3.625156,0.3483205,GALAXY,0.3483205,229.8925,23.21463,boss
1237655123930513792,173.08683,3.7447285,0.6495956,GALAXY,0.6495956,296.4482,32.30511,boss
