# name,# catalog-job 2015-10-28
# SQL,"# SELECT id, ra2000, decl2000, mag_i, redshift
# FROM external_catalog.specz_201510
# WHERE redshift > 0.1
# LIMIT 1000
# ;
# "
#
# id,ra2000,decl2000,mag_i,redshift
395,56.836105,0.968236,18.788,0.18241
396,58.020297,0.946565,17.859,0.37485
398,58.161167,1.00872,17.448,0.24298
399,58.138851,0.990726,17.92,0.11983
401,58.148088,1.013438,18.919,0.24215
402,58.206463,0.946663,18.944,0.22037
403,58.223808,0.921126,18.439,0.27279
404,58.231025,0.878286,18.278,0.21922
406,58.334782,0.933696,18.715,0.2248
407,58.343903,0.897463,18.349,0.2435
409,58.379276,0.98183,17.439,0.19951
410,228.61256,0.473602,19.603,0.54313
411,207.1829,0.577564,21.614,1.75533
412,146.60967,-1.021748,19.66,0.54135
413,146.83931,-0.945023,19.69,0.58211
414,149.28976,-0.90405,18.69,0.50908
415,149.86761,-0.969656,21.25,0.45187
416,219.55508,-0.689444,19.636,0.54975
417,228.50554,0.491764,20.892,2.15863
418,207.21451,0.500503,19.341,0.41229
419,233.21364,1.050744,19.29,0.50389
420,136.28504,-0.921124,19.761,0.48641
421,149.46989,-0.945203,19.606,0.48446
423,156.75671,-0.942983,19.645,0.49799
425,156.90359,-1.010731,18.979,0.65913
428,158.76165,-0.873576,19.345,0.48036
429,158.82984,-0.97293,21.358,1.09411
430,161.32104,-1.002813,19.214,0.53076
435,169.18284,-0.973447,19.195,0.44386
436,217.54915,0.924982,19.141,0.53177
438,217.9924622,-0.916786,21.106,2.2885
439,213.1067963,-0.076854,18.237,0.39838
440,217.83312,-0.733409,18.422,0.4397
441,210.21531,-0.679983,19.018,0.41815
442,140.94223,-0.459707,19.114,0.6521
443,222.67784,-1.145596,18.756,0.52654
445,165.05604,-0.010226,20.849,2.71229
446,213.60689,-0.0675,19.352,0.55001
448,196.04201,0.876375,18.925,0.54815
449,162.15104,-0.024428,19.271,0.44869
450,212.02282,-0.345673,19.341,0.52125
452,196.18161,-0.466494,19.822,0.57976
453,161.65851,-0.623033,20.919,2.69585
454,211.56989,-0.111851,21.921,0.86191
455,212.33784,-0.106443,19.467,0.53868
456,221.3494263,-0.089545,18.642,0.3968
457,213.68077,-0.046927,21.345,2.38394
459,143.40111,-0.018147,18.986,0.49757
460,143.42282,-0.12288,19.875,0.57172
461,212.26819,-0.138836,19.499,0.50946
462,164.55831,-0.618821,19.703,0.56251
463,196.05747,-1.033791,19.719,0.65024
467,198.01573,0.497456,20.803,0.77728
468,134.8166656,0.304579,16.818,0.15766
469,140.22209,0.2771,18.022,0.19708
470,213.46747,-0.499682,19.256,0.65142
471,197.28298,-0.904058,19.877,0.49491
472,211.47532,-0.010272,18.477,3.63259
473,210.49053,-0.992928,19.752,0.69139
477,210.3954,-0.954357,19.761,0.57926
481,143.97488,0.353792,18.307,0.34567
482,213.58962,-0.462253,19.734,0.73382
483,162.31892,-0.099722,19.682,0.58451
485,144.11796,0.38071,18.605,0.36053
486,144.09036,0.241168,19.725,0.35803
487,199.89629,0.193388,18.71,0.50679
488,144.20692,0.23716,18.96,0.34937
489,196.19176,-0.169279,19.138,0.514
491,145.07457,0.386991,18.725,0.3585
495,212.09354,-0.924567,19.583,0.59869
496,197.68555,-0.463546,19.724,0.60188
497,197.36267,0.196019,19.443,0.51155
498,197.75407,-0.502431,21.586,2.52065
499,145.37254,0.270417,19.45,0.26258
507,221.34872,0.004038,19.851,0.59204
508,213.02415,-1.031349,19.105,3.75153
